issnl,n_arts,n_usefull2,publisher_loc,title,rssurl
1935-2727,209,206,"San Francisco, CA",PLoS neglected tropical diseases,http://feeds.feedburner.com/plosntds/NewArticles?format=xml
2045-2322,127,125,London,Scientific reports,
1932-6203,106,103,"San Francisco, CA",PloS one,http://feeds.feedburner.com/plosone/PLoSONE?format=xml
1756-3305,70,70,London,Parasites & vectors,http://www.parasitesandvectors.com/rss/
1664-302X,41,41,"",Frontiers in microbiology,
1553-7366,41,37,"San Francisco, CA",PLOS pathogens / Public Library of Science,http://feeds.feedburner.com/plospathogens/NewArticles?format=xml
1471-2334,34,34,London,BMC infectious diseases,http://www.biomedcentral.com/bmcinfectdis/rss
1999-4915,31,31,"Basel, Switzerland",Viruses,http://www.mdpi.com/rss/journal/viruses
1743-422X,28,27,London,Virology journal,http://www.virologyj.com/rss/
2157-3999,26,26,"San Francisco, CA",PLoS currents,
0042-9686,91,25,,Bulletin of the World Health Organization,
0074-0276,25,25,SciELO,Memórias do Instituto Oswaldo Cruz,http://www.scielo.br/rss.php?pid=0074-0276&lang=en
2150-7511,25,25,"Washington, D.C.",MBio,
2041-1723,24,24,London,Nature communications,
2046-1402,24,24,London,F1000Research,
2352-3964,26,22,,,
1025-496X,27,21,Saint-Maurice,Euro surveillance : bulletin européen sur les maladies transmissibles = European communicable disease bulletin,
2169-8287,20,20,"Washington, DC",Genome announcements,
2222-1751,18,18,New York,Emerging microbes & infections,
1471-2458,17,17,London,BMC public health,http://www.biomedcentral.com/bmcpublichealth/rss
0002-9637,36,16,"Northbrook, Ill.",The American journal of tropical medicine and hygiene official journal of the American Society of Tropical Medicine and Hygiene,
2050-084X,16,16,"Cambridge, UK",eLife,
1475-2875,13,13,London,Malaria journal,http://www.malariajournal.com/rss
1664-3224,13,13,"",Frontiers in immunology,
2049-9957,13,13,London,Infectious diseases of poverty,
2326-5094,16,13,,Health security,
2328-8957,12,12,Oxford,Open forum infectious diseases,
2214-2509,11,11,"",ID Cases,
2296-2565,11,11,Lausanne,Frontiers in Public Health,
2075-4450,10,10,S.l.,Insects,
2235-2988,10,10,Lausanne,Frontiers in Cellular and Infection Microbiology,
2379-5042,10,10,,,
0305-1048,12,9,Oxford,Nucleic acids research,http://nar.oxfordjournals.org/rss/current.xml
0962-8436,11,9,Leamington Spa,Japanscan : Bio-industry bulletin,http://rstb.royalsocietypublishing.org/rss/current.xml
1549-1277,9,9,"San Francisco, CA",PLoS medicine / Public Library of Science,http://medicine.plosjournals.org/perlserv/?request=get-rss&issn=1549-1676&type=toc-articles
1741-7015,9,9,London,BMC medicine,http://www.biomedcentral.com/bmcmed/rss
2314-6133,10,9,"New York, NY",BioMed research international,
0028-0836,9,8,London,Nature,
1471-2164,8,8,London,BMC genomics,http://www.biomedcentral.com/bmcgenomics/rss
1744-8603,8,8,London,Globalization and health,http://www.globalizationandhealth.com/rss/
2045-7758,8,8,Oxford,Ecology and evolution,
2059-7908,8,8,,,
1947-2579,18,7,"Chicago, IL",Online journal of public health informatics,
1949-2553,7,7,"Albany, N.Y.",Oncotarget,
2167-8359,7,7,"Corte Madera, CA",PeerJ,
0022-538X,46,6,"Washington, D.C.",Journal of virology,
0036-4665,6,6,"",Revista do Instituto de Medicina Tropical de São Paulo,http://www.scielo.br/rss.php?pid=0036-4665&lang=en
0959-8138,8,6,London,British medical journal : BMJ,http://www.bmj.com/rss/current.xml
1674-800X,6,6,Heidelberg,Protein & cell,http://www.springerlink.com/content/121723?sortorder=asc&export=rss
1741-7007,6,6,London,BMC biology,http://www.biomedcentral.com/bmcbiol/rss
2369-2960,6,6,,,
